0,1067,3.0
0,1575,1.0
0,653,1.0
0,1693,4.0
0,1296,6.0
0,1534,7.0
0,299,1.0
0,1795,1.0
0,666,10.0
0,1482,10.0
0,1641,5.0
0,1429,3.0
0,635,5.0
0,30,5.0
0,195,1.0
0,453,10.0
0,582,5.0
0,656,8.0
0,1794,10.0
0,1748,7.0
0,562,8.0
0,1260,1.0
0,758,1.0
0,1734,6.0
0,672,5.0
0,544,1.0
0,1137,1.0
0,150,10.0
0,125,2.0
0,519,1.0
0,1523,3.0
0,362,6.0
0,53,5.0
0,276,10.0
0,704,6.0
0,279,1.0
0,185,1.0
0,521,6.0
0,1908,1.0
0,1589,10.0
0,1321,1.0
0,586,3.0
0,431,2.0
0,1271,2.0
0,1047,8.0
0,1346,6.0
0,1127,6.0
0,207,1.0
0,543,6.0
0,482,4.0
0,1708,1.0
0,159,1.0
0,297,2.0
0,995,5.0
0,259,2.0
0,462,1.0
0,921,8.0
0,1303,1.0
0,152,1.0
0,850,7.0
0,1838,4.0
0,811,4.0
0,380,10.0
0,793,7.0
0,1869,10.0
0,248,7.0
0,1075,6.0
0,1757,1.0
0,1032,6.0
0,308,1.0
0,1148,9.0
0,1866,5.0
0,853,5.0
0,384,9.0
0,970,6.0
0,1573,5.0
0,746,8.0
0,1419,5.0
0,828,5.0
0,1828,1.0
0,904,6.0
0,1747,1.0
0,135,1.0
0,306,3.0
0,1444,2.0
0,122,4.0
0,97,7.0
0,1633,1.0
0,1048,3.0
0,1207,4.0
0,826,7.0
0,1858,4.0
0,1060,10.0
0,1069,5.0
0,361,5.0
0,1536,4.0
0,1946,7.0
0,1697,5.0
0,390,2.0
0,270,5.0
0,1131,9.0
0,1330,7.0
0,465,10.0
0,675,1.0
0,892,5.0
0,628,5.0
0,1637,4.0
0,1660,7.0
0,1798,1.0
0,1453,1.0
0,240,1.0
0,796,7.0
0,1210,8.0
0,341,8.0
0,1717,1.0
0,1585,7.0
0,490,2.0
0,285,3.0
0,554,10.0
0,1242,1.0
0,1178,1.0
0,1631,6.0
0,818,5.0
0,192,6.0
0,1930,1.0
0,576,4.0
0,1983,4.0
0,706,7.0
0,742,2.0
0,313,1.0
0,1451,2.0
0,1089,3.0
0,833,1.0
0,448,2.0
0,1395,4.0
0,434,1.0
0,1665,1.0
0,925,6.0
0,1386,8.0
0,662,4.0
0,1298,10.0
0,946,10.0
0,568,1.0
0,855,10.0
0,1762,1.0
0,2,7.0
0,1885,10.0
0,749,7.0
0,1180,5.0
0,1680,3.0
0,1515,2.0
0,1459,1.0
0,804,10.0
0,206,5.0
0,741,3.0
0,273,1.0
0,1850,5.0
0,1882,8.0
0,112,3.0
0,164,3.0
0,242,2.0
0,1162,9.0
0,814,2.0
0,1490,1.0
0,638,4.0
0,1065,5.0
0,78,10.0
0,392,2.0
0,1325,5.0
0,46,2.0
0,644,4.0
0,552,10.0
0,183,3.0
0,47,1.0
0,247,1.0
0,38,4.0
0,226,6.0
0,561,1.0
0,1654,1.0
0,1940,1.0
0,1834,9.0
0,139,1.0
0,622,10.0
0,1282,7.0
0,156,2.0
0,1015,8.0
0,1290,9.0
0,1036,7.0
0,1040,8.0
0,1618,8.0
0,1989,1.0
0,414,6.0
0,1256,9.0
0,1570,10.0
0,227,5.0
0,1230,10.0
0,637,1.0
0,219,10.0
0,442,1.0
0,40,9.0
0,466,5.0
0,1288,9.0
0,609,2.0
0,261,6.0
0,514,4.0
0,714,3.0
0,852,6.0
0,567,10.0
0,548,10.0
0,915,5.0
0,1518,8.0
0,1411,1.0
0,1247,2.0
0,1436,9.0
0,1951,5.0
0,27,1.0
0,363,10.0
0,370,1.0
0,1627,1.0
0,1566,6.0
0,1909,5.0
0,1628,3.0
0,679,7.0
0,1350,1.0
0,1778,9.0
0,91,7.0
0,90,3.0
0,918,6.0
0,812,5.0
0,834,1.0
0,896,5.0
0,1289,6.0
0,251,1.0
0,1308,5.0
0,387,5.0
